district,date,value
NPL001,1999-10-01,167.5162
NPL001,1999-11-01,15.5959
NPL001,1999-12-01,11.7701
NPL001,2000-01-01,26.2666
NPL001,2000-02-01,29.4677
NPL001,2000-03-01,59.377
NPL001,2000-04-01,93.8656
NPL001,2000-05-01,142.4112
NPL001,2000-06-01,160.7649
NPL001,2000-07-01,172.6754
NPL001,2000-08-01,258.633
NPL001,2000-09-01,169.5886
NPL001,2000-10-01,43.613
NPL001,2000-11-01,37.6069
NPL001,2000-12-01,15.4551
NPL001,2001-01-01,17.6961
NPL001,2001-02-01,47.1801
NPL001,2001-03-01,43.2271
NPL001,2001-04-01,141.8359
NPL001,2001-05-01,138.3486
NPL001,2001-06-01,161.9935
NPL001,2001-07-01,218.5648
NPL001,2001-08-01,220.7279
NPL001,2001-09-01,127.1133
NPL001,2001-10-01,116.655
NPL001,2001-11-01,19.9339
NPL001,2001-12-01,12.0203
NPL001,2002-01-01,39.1509
NPL001,2002-02-01,31.6774
NPL001,2002-03-01,68.4769
NPL001,2002-04-01,130.5711
NPL001,2002-05-01,119.354
NPL001,2002-06-01,140.991
NPL001,2002-07-01,249.5626
NPL001,2002-08-01,261.7237
NPL001,2002-09-01,95.3
NPL001,2002-10-01,45.8839
NPL001,2002-11-01,11.6898
NPL001,2002-12-01,22.7249
NPL001,2003-01-01,18.1692
NPL001,2003-02-01,58.8414
NPL001,2003-03-01,59.1148
NPL001,2003-04-01,117.7124
NPL001,2003-05-01,86.2695
NPL001,2003-06-01,236.2396
NPL001,2003-07-01,263.4395
NPL001,2003-08-01,210.2785
NPL001,2003-09-01,126.352
NPL001,2003-10-01,129.6136
NPL001,2003-11-01,14.3525
NPL001,2003-12-01,19.7016
NPL001,2004-01-01,24.1382
NPL001,2004-02-01,19.0282
NPL001,2004-03-01,45.4356
NPL001,2004-04-01,111.7787
NPL001,2004-05-01,93.2271
NPL001,2004-06-01,157.7116
NPL001,2004-07-01,229.8694
NPL001,2004-08-01,158.0
NPL001,2004-09-01,128.1337
NPL001,2004-10-01,69.8753
NPL001,2004-11-01,18.3306
NPL001,2004-12-01,7.0469
NPL001,2005-01-01,37.077
NPL001,2005-02-01,26.0604
NPL001,2005-03-01,56.1582
NPL001,2005-04-01,90.7807
NPL001,2005-05-01,97.7814
NPL001,2005-06-01,134.5445
NPL001,2005-07-01,211.8622
NPL001,2005-08-01,232.9386
NPL001,2005-09-01,109.9618
NPL001,2005-10-01,85.9391
NPL001,2005-11-01,18.1626
NPL001,2005-12-01,8.4067
NPL001,2006-01-01,7.7502
NPL001,2006-02-01,45.6088
NPL001,2006-03-01,69.0438
NPL001,2006-04-01,114.769
NPL001,2006-05-01,99.9497
NPL001,2006-06-01,148.563
NPL001,2006-07-01,243.5084
NPL001,2006-08-01,198.2559
NPL001,2006-09-01,193.2363
NPL001,2006-10-01,49.4111
NPL001,2006-11-01,42.4116
NPL001,2006-12-01,17.4982
NPL001,2007-01-01,18.2196
NPL001,2007-02-01,75.0785
NPL001,2007-03-01,54.6463
NPL001,2007-04-01,132.3804
NPL001,2007-05-01,102.795
NPL001,2007-06-01,144.5491
NPL001,2007-07-01,281.5651
NPL001,2007-08-01,180.4905
NPL001,2007-09-01,207.0426
NPL001,2007-10-01,80.6852
NPL001,2007-11-01,15.7674
NPL001,2007-12-01,9.8143
NPL001,2008-01-01,22.5631
NPL001,2008-02-01,31.4458
NPL001,2008-03-01,74.222
NPL001,2008-04-01,84.3098
NPL001,2008-05-01,114.9514
NPL001,2008-06-01,212.0704
NPL001,2008-07-01,246.32
NPL001,2008-08-01,253.8694
NPL001,2008-09-01,100.8865
NPL001,2008-10-01,50.387
NPL001,2008-11-01,14.6308
NPL001,2008-12-01,21.1735
NPL001,2009-01-01,20.3155
NPL001,2009-02-01,24.4146
NPL001,2009-03-01,60.4411
NPL001,2009-04-01,88.8121
NPL001,2009-05-01,162.4208
NPL001,2009-06-01,124.3256
NPL001,2009-07-01,233.1225
NPL001,2009-08-01,288.4604
NPL001,2009-09-01,110.6977
NPL001,2009-10-01,112.6277
NPL001,2009-11-01,19.3126
NPL001,2009-12-01,22.3304
NPL001,2010-01-01,9.8461
NPL001,2010-02-01,34.4806
NPL001,2010-03-01,77.711
NPL001,2010-04-01,95.1081
NPL001,2010-05-01,151.3797
NPL001,2010-06-01,212.2387
NPL001,2010-07-01,291.2887
NPL001,2010-08-01,262.1827
NPL001,2010-09-01,172.0831
NPL001,2010-10-01,77.0281
NPL001,2010-11-01,38.2211
NPL001,2010-12-01,12.8071
NPL001,2011-01-01,23.3238
NPL001,2011-02-01,34.5038
NPL001,2011-03-01,48.6911
NPL001,2011-04-01,90.9131
NPL001,2011-05-01,101.6756
NPL001,2011-06-01,202.1869
NPL001,2011-07-01,289.223
NPL001,2011-08-01,260.5977
NPL001,2011-09-01,187.6033
NPL001,2011-10-01,49.9726
NPL001,2011-11-01,41.9886
NPL001,2011-12-01,16.3297
NPL001,2012-01-01,41.0699
NPL001,2012-02-01,45.9908
NPL001,2012-03-01,53.0685
NPL001,2012-04-01,106.574
NPL001,2012-05-01,87.2093
NPL001,2012-06-01,155.7034
NPL001,2012-07-01,286.3063
NPL001,2012-08-01,229.7722
NPL001,2012-09-01,222.3435
NPL001,2012-10-01,53.2975
NPL001,2012-11-01,10.0475
NPL001,2012-12-01,10.9012
NPL001,2013-01-01,17.4266
NPL001,2013-02-01,46.9112
NPL001,2013-03-01,37.1613
NPL001,2013-04-01,92.561
NPL001,2013-05-01,184.485
NPL001,2013-06-01,175.944
NPL001,2013-07-01,253.9326
NPL001,2013-08-01,229.386
NPL001,2013-09-01,108.7128
NPL001,2013-10-01,148.3102
NPL001,2013-11-01,8.5113
NPL001,2013-12-01,20.5269
NPL001,2014-01-01,5.7313
NPL001,2014-02-01,22.075
NPL001,2014-03-01,53.8496
NPL001,2014-04-01,28.7236
NPL001,2014-05-01,195.1266
NPL001,2014-06-01,143.0274
NPL001,2014-07-01,194.1073
NPL001,2014-08-01,236.8062
NPL001,2014-09-01,156.009
NPL001,2014-10-01,54.0986
NPL001,2014-11-01,28.6412
NPL001,2014-12-01,20.424
NPL001,2015-01-01,12.3855
NPL001,2015-02-01,14.6117
NPL001,2015-03-01,62.3937
NPL001,2015-04-01,134.0788
NPL001,2015-05-01,230.1584
NPL001,2015-06-01,317.8719
NPL001,2015-07-01,267.61
NPL001,2015-08-01,382.9628
NPL001,2015-09-01,135.679
