fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2018-2019,2007-08,55,04,00,"Housing, water, Elec., Gas and other fuels",210.71,210.8,210.82,219.07,219.24,219.28,226,226.02,226.12,228.21,228.25,228.37,221.07
2018-2019,2007-08,56,04,51,House Rent,206,206,206,207.09,207.09,207.09,212.02,212.02,212.02,214.78,214.78,214.78,209.97
2018-2019,2007-08,57,04,52,Construction Input Items,276.97,280.01,280.39,285.53,289.23,290.47,292.42,293.08,295.39,296.83,298.32,303,290.14
2018-2019,2007-08,58,04,53,Construction Wage Rates,265.71,267.25,268.44,271.55,276.45,277.35,277.46,278.16,281.4,282.22,282.74,284.21,276.08
2018-2019,2007-08,59,04,54,Water Supply,189.09,189.82,189.82,194.95,194.95,194.95,194.95,194.95,195.29,195.29,195.29,195.63,193.75
2018-2019,2007-08,60,04,55,Electricity,238.1,238.1,238.1,238.1,238.1,238.1,258.28,258.28,258.28,258.28,258.28,258.28,248.19
2018-2019,2007-08,61,04,56,Gas,158.08,158.08,158.08,292.94,292.94,292.94,292.94,292.94,292.94,292.94,292.94,292.94,259.23
2018-2019,2007-08,62,04,57,Kerosene Oil,272.04,274.04,272.49,271.88,278.21,275.39,275.63,274.12,278.25,284.86,295.47,298.12,279.21
2018-2019,2007-08,63,04,58,Firewood Whole,298.03,298.7,299.07,299.07,303.78,305.35,305.94,305.94,307.17,307.99,308.96,309.64,304.14
2018-2019,2007-08,64,05,00,Furnishing and household equipment maintenance,241.18,242.2,243.36,245.5,247.76,250.22,252.03,255.07,257,259.19,260.95,262.78,251.44
2018-2019,2007-08,65,05,59,Furniture,236.67,237.77,238.44,242.25,244.56,247.26,250.86,251.62,252.79,255.11,256.83,257.55,247.64
2018-2019,2007-08,66,05,60,Household Textiles,243,243.45,243.85,245.96,248.54,249.62,251.22,251.59,253.05,253.98,255.72,256.3,249.69
2018-2019,2007-08,67,05,61,Household Equipment,190.99,192.31,193.22,194.5,196.96,197.85,197.6,198.07,198.67,202,205.33,205.81,197.78
2018-2019,2007-08,68,05,62,Utensils,252.51,255.56,257.08,259.94,262.52,265.24,268.14,272.66,273.6,275.24,277.6,278.6,266.56
2018-2019,2007-08,69,05,63,Plastic Products,225.98,227.91,229.26,231.09,233.84,237.13,239.16,242.52,245.73,248.2,250.05,250.68,238.46
2018-2019,2007-08,70,05,64,Washing Soaps & Detergents,241.08,242.53,245.92,248.45,252.39,256.02,257.38,260.03,261.3,263.63,264,265.35,254.84
2018-2019,2007-08,71,05,65,Sewing Needle & Dr Cell,219.36,221.16,221.76,223.03,223.94,225.74,229.39,230.38,231.04,232.24,232.84,238.85,227.48
2018-2019,2007-08,72,05,66,Household Servant,271.59,271.59,271.59,273.41,274.2,277.43,279.81,286.73,290.6,292.98,295.04,299.18,282.01
2018-2019,2007-08,73,05,67,Marriage Hall Charges,266.62,266.62,270.18,271.76,272.04,272.06,272.06,275.23,277.33,279.97,279.97,280.41,273.69
2018-2019,2007-08,74,06,00,Health,224.67,225.2,226.78,234.03,235.09,235.75,236.58,237.67,239.12,241.75,243.18,243.63,235.29
2018-2019,2007-08,75,06,68,Drugs & Medicines,190.05,190.58,191.25,197.59,198.54,199.56,200.93,201.8,204.15,206.92,208.87,209.38,199.97
2018-2019,2007-08,76,06,69,Medical Equipments,260.09,261.95,263.71,263.99,266.6,267.75,268.3,271.19,277.26,281.94,283.11,283.19,270.76
2018-2019,2007-08,77,06,70,Doctor (MBBS) Clinic Fee,304.41,304.41,307.89,318.34,320.01,320.01,320.01,321.75,321.75,324.35,324.35,324.35,317.64
2018-2019,2007-08,78,06,71,Medical Tests,213.79,215.21,216.89,222.03,222.39,222.85,223.06,223.77,224.24,226.33,228.31,229.39,222.36
2018-2019,2007-08,79,07,00,Transport,202.71,204.74,204.94,210,213.89,212.38,209.96,209.05,211.31,214.61,220.7,223.75,211.5
2018-2019,2007-08,80,07,72,Motor Vehicles,192.28,196.91,197.12,200.53,203.52,204.45,204.71,205.06,206.44,207.61,211.31,211.41,203.45
2018-2019,2007-08,81,07,73,Motor Vehicle Accessories,216.65,218.65,220.6,224.74,229.64,235.16,236.56,237.99,238.24,239.38,240.79,241.01,231.62
2018-2019,2007-08,82,07,74,Motor Fuel,182,184.6,182.56,189.09,196.83,195.52,189.53,186.52,189.4,197.39,209.23,216.36,193.25
2018-2019,2007-08,83,07,75,Mechanical Service,244.59,244.82,245.9,248.46,248.8,251.72,252.53,255.38,256.98,256.98,258.15,258.72,251.92
2018-2019,2007-08,84,07,76,Motor Vehicle Tax,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,211.97,211.97,211.97,210.63
2018-2019,2007-08,85,07,77,Transport Services,219.83,221,223.39,227.93,228.4,224.6,224.55,224.79,226.96,226.34,228.09,228.09,225.33
2018-2019,2007-08,86,08,00,Communication,133.63,133.78,133.78,143.45,143.57,143.57,143.57,143.63,143.65,143.65,143.78,145.39,141.29
2018-2019,2007-08,87,08,78,Postal Services,272.45,272.45,272.45,272.57,272.63,272.63,272.63,272.63,272.63,272.63,272.63,347.68,278.83
2018-2019,2007-08,88,08,79,Communication & Apparatus,130.72,130.86,130.87,140.74,140.86,140.86,140.86,140.93,140.94,140.94,141.07,141.14,138.4
2018-2019,2007-08,89,09,00,Recreation and culture,208.71,209.89,210.12,213.73,214.34,214.51,215.3,215.79,219.77,222.37,223.08,223.19,215.9
2018-2019,2007-08,90,09,80,Recreation & Culture,134.65,137.22,137.22,137.39,137.58,137.61,137.61,137.68,137.69,138.16,138.17,138.17,137.43
2018-2019,2007-08,91,09,81,Text Books,304.43,304.43,304.43,304.61,304.92,304.92,304.92,304.92,316.96,321.86,322.93,323.14,310.21
2018-2019,2007-08,92,09,82,Newspapers,202.94,202.94,202.94,235.21,235.21,235.21,235.21,235.21,235.21,242.78,242.78,242.78,229.04
2018-2019,2007-08,93,09,83,Stationery,235.12,235.55,236.7,238.8,241.07,241.84,245.87,248.25,251.19,252.72,254.76,255.05,244.74
2018-2019,2007-08,94,10,00,Education,281.89,281.89,287.41,288.62,288.62,289.54,288.68,289.13,292.02,297.27,297.27,297.27,289.97
2018-2019,2007-08,95,10,84,Education,281.89,281.89,287.41,288.62,288.62,289.54,288.68,289.13,292.02,297.27,297.27,297.27,289.97
2018-2019,2007-08,96,11,00,Restaurants and hotels,293.25,295.01,295.86,297.39,298.18,301.38,302.94,303.57,306.48,308.62,309.79,311.97,302.04
2018-2019,2007-08,97,11,85,Readymade Food,293.25,295.01,295.86,297.39,298.18,301.38,302.94,303.57,306.48,308.62,309.79,311.97,302.04
2018-2019,2007-08,98,12,00,Misc. goods and services,265.48,264.45,267.3,271.44,272.19,275.96,278.6,280.4,282.45,284.46,285.37,289.65,276.48
2018-2019,2007-08,99,12,86,Personal Care,239.94,240.91,242.09,244.22,245.08,246.54,248.28,249.74,250.69,251.1,252.77,254.78,247.18
2018-2019,2007-08,100,12,87,Cosmetics,222.96,224.25,225.61,227.83,230.19,231.29,232.5,233.79,236.95,237.4,241.15,242.5,232.2
2018-2019,2007-08,101,12,88,Blades,204.43,205.13,206.54,206.96,210.38,211.72,217.6,217.6,221.15,221.15,226.31,227.91,214.74
2018-2019,2007-08,102,12,89,Personal Equipments,332.42,326.73,333.26,341.98,341.68,350.88,355.64,358.33,361.77,367.39,365.51,375.22,350.9
2019-2020,2015-16,1,00,00,General,124.95,126.77,127.72,129.75,131.05,130.57,132.77,131.32,131.49,130.6,130.99,131.89,129.99
2019-2020,2015-16,2,01,00,Food and non-alcoholic Beverages,118.77,123.19,125.97,128.09,131.67,128.95,132.91,130.25,130.93,129.25,131.55,134.23,128.81
2019-2020,2015-16,3,01,01,Wheat,108.38,108.06,110.14,111.48,119.13,125.83,141.72,136.73,125.2,121.08,117,129.67,121.2
2019-2020,2015-16,4,01,02,Wheat flour,108.27,109.66,113.19,113.59,118.97,118.67,127.48,120.73,116.9,116.61,116.41,130.29,117.56
2019-2020,2015-16,5,01,03,Wheat products,111.56,112.56,113.03,114.87,119.6,121.24,124.44,124.81,125.56,123.84,124.64,127.34,120.29
2019-2020,2015-16,6,01,04,Besan,108.08,109.49,109.74,111.15,114.77,115.21,129.14,126.13,123.78,133.72,127.86,122.51,119.3
2019-2020,2015-16,7,01,05,Rice,126.95,127.33,127.78,128.37,129.01,129.56,131.12,131.69,131.98,132.45,133.45,134.64,130.36
2019-2020,2015-16,8,01,06,Bakery and confectionary,114.52,117.16,120.07,120.53,122.36,124.03,124.48,125.69,126.07,126.31,126.34,126.4,122.83
2019-2020,2015-16,9,01,07,Nimco,113.69,115.5,115.67,116.71,117.77,119.29,120.46,122.87,124.31,124.74,125.49,125.99,120.21
2019-2020,2015-16,10,01,08,Meat,135.95,136.89,137.72,139.33,140.3,140.77,141.84,142.13,143.33,145.46,146.83,147.76,141.53
2019-2020,2015-16,11,01,09,Chicken,103.52,145.7,139.26,113.96,111.36,98.88,116.21,118.94,122.8,96.02,135.83,137.92,120.03
2019-2020,2015-16,12,01,10,Fish,121.14,121.83,121,123.42,124.87,126.39,127.9,126.83,115.1,114.32,114.13,114.26,120.93
2019-2020,2015-16,13,01,11,Milk fresh,113.88,114.39,117.63,118.51,120.19,120.26,120.51,120.5,121.66,116.44,121.83,123.69,119.12
2019-2020,2015-16,14,01,12,Milk products,116.53,117,122.55,123.45,122.9,122.93,122.98,123,124.15,122.67,124.94,125.86,122.41
2019-2020,2015-16,15,01,13,Milk powder,118.54,119.17,120.92,123.08,123.53,123.96,125.19,127.12,129.49,129.99,129.91,130.2,125.09
2019-2020,2015-16,16,01,14,Eggs,102.76,112.79,110.13,131.87,130.72,136.75,156.28,115.09,116.96,134.17,109.03,132.7,124.1
2019-2020,2015-16,17,01,15,Butter,136.49,136.56,139.46,141.34,148.69,148.69,157.5,163.19,165.21,165.88,170.16,170.23,153.62
2019-2020,2015-16,18,01,16,Mustard oil,109.45,111.36,111.34,112.04,114.83,115.2,118.51,123.55,125.65,125.59,125.68,125.68,118.24
2019-2020,2015-16,19,01,17,Cooking oil,121.83,127.53,128.25,128.66,130.2,132.43,133.08,146.75,147.02,146.37,144.78,144.82,135.98
2019-2020,2015-16,20,01,18,Vegetable ghee,121.51,126.59,128.23,128.59,129.87,131.1,133.96,151.57,152.14,150.61,149.49,149.51,137.76
2019-2020,2015-16,21,01,19,Dry fruits,117.63,117.74,118.02,120.22,124.09,131.97,133.41,133.88,132.27,129.31,129.72,130.03,126.52
2019-2020,2015-16,22,01,20,Fresh fruits,139.86,117.99,111.38,109.83,108.84,111.34,115.72,120.53,130.81,153.98,168.95,161.59,129.24
2019-2020,2015-16,23,01,21,Pulse masoor,83.54,85.66,86.61,87.51,89.84,90.19,96.8,97.16,93.87,119.72,114.42,110.33,96.3
2019-2020,2015-16,24,01,22,Pulse moong,104.84,105.67,106.47,107.01,115.35,117.52,140.72,143.92,143.99,177.27,176.38,171.75,134.24
2019-2020,2015-16,25,01,23,Pulse mash,74.96,75.72,76.01,76.35,85.3,86.87,95.81,96.9,94.64,107.87,107.89,104.68,90.25
2019-2020,2015-16,26,01,24,Pulse gram,105.3,106.81,108.32,108.91,111.02,111.78,132.12,129.03,122.41,135.67,125.84,118.49,117.98
2019-2020,2015-16,27,01,25,Gram whohe,117.58,117.64,118.1,118.96,120.2,120.8,128.87,129.28,128.08,133.69,129.92,128.54,124.31
2019-2020,2015-16,28,01,26,Beans,110.62,111.12,111.39,114.21,119.38,120.84,130.61,135.69,137.29,143.77,144.87,144.13,126.99
2019-2020,2015-16,29,01,27,Potatoes,148.09,157.28,162.25,178.6,190.6,186.87,179.98,156.74,173.87,172.48,226.28,230.8,180.32
2019-2020,2015-16,30,01,28,Onions,121.57,160.85,178.32,187.2,194.35,170.16,138.91,126.7,171.14,131.88,101.08,83.83,147.17
2019-2020,2015-16,31,01,29,Tomatoes,98.92,135.99,128.05,172.83,431.06,273.76,250.86,99.67,76.46,67.97,62.71,70.92,155.77
2019-2020,2015-16,32,01,30,Fresh vegetables,121.79,137.43,159.12,187.27,165.7,158.05,176.54,156.27,144.11,138.55,111.37,115.88,147.67
2019-2020,2015-16,33,01,31,Sugar,115.7,120.07,120.31,118.66,117.26,113.11,118.85,128.89,128.2,131.47,131.06,130.37,122.83
2019-2020,2015-16,34,01,32,Gur,120.76,123.81,125.25,126.5,126.13,125.33,137.23,137.37,138.91,139.17,140.83,136.49,131.48
2019-2020,2015-16,35,01,33,Honey,113.24,113.38,115.65,116.04,116.07,116.4,116.76,118.4,118.78,118.89,118.89,119.37,116.82
2019-2020,2015-16,36,01,34,Sweetmeat,128.77,130.71,134.3,134.5,134.69,135.16,135.78,137.53,138.69,138.87,139.49,141.24,135.81
2019-2020,2015-16,37,01,35,Ice cream,117.76,119.23,122.31,123.33,123.43,124.12,124.87,125.04,126.01,126.06,126.61,126.91,123.81
2019-2020,2015-16,38,01,36,Condiments and Spices,135.32,139.73,141.84,142.81,145.46,145.09,155.47,159.13,161.65,160.45,166.4,175.46,152.4
2019-2020,2015-16,39,01,37,Dessert preparation,112.18,112.62,112.76,115.02,115.86,117.5,118.23,118.96,120.7,121.42,124.02,125.08,117.86
2019-2020,2015-16,40,01,38,Tea,128.35,128.39,138.85,140.05,140.36,140.39,140.63,140.74,140.74,140.74,140.74,140.74,138.39
2019-2020,2015-16,41,01,39,Beverages,116.59,118.97,120.77,121.6,121.7,121.8,122.14,122.25,123.31,124.67,126.47,126.76,122.25
2019-2020,2015-16,42,02,00,"Alcoholic Beverages, Tobacco",141.67,141.93,142.24,142.53,142.63,142.7,143.25,143.51,143.54,144.82,145.03,145.1,143.25
2019-2020,2015-16,43,02,40,Cigarettes,134.05,134.35,134.41,134.58,134.64,134.65,134.71,134.72,134.73,134.87,135.09,135.18,134.67
2019-2020,2015-16,44,02,41,Pan prepared,181.46,181.46,183.12,184.05,184.34,184.7,187.81,189.39,189.54,196.75,196.9,196.9,188.04
2019-2020,2015-16,45,03,00,Clothing and footwear,121.6,123.36,123.86,124.17,125.23,126.1,127.13,127.81,129.69,129.69,131.67,132.5,126.9
2019-2020,2015-16,46,03,42,Cotton cloth,123.51,124.77,125.93,126.13,126.52,126.56,127.02,127.83,128.83,128.83,134.03,136.39,128.03
2019-2020,2015-16,47,03,43,Woolen cloth,113.89,115.35,115.36,115.92,119.57,120.94,124.66,125.76,125.98,125.99,126.22,127.1,121.4
2019-2020,2015-16,48,03,44,Readymade garments,125.6,126.21,126.24,126.76,126.97,127.38,127.58,128.66,129.95,129.96,130.2,130.22,127.98
2019-2020,2015-16,49,03,45,Woolen readymade garments,115.81,115.81,115.98,116.29,120.5,123.78,126.89,126.89,126.88,126.88,126.88,126.88,122.46
2019-2020,2015-16,50,03,46,Tailoring,128.73,129.07,130.09,130.52,131.54,134.64,136.53,136.79,136.89,136.89,140.36,140.63,134.39
2019-2020,2015-16,51,03,47,Hosiry,123.04,123.52,123.72,124.05,124.69,125.57,125.84,127.4,127.52,127.52,127.61,128.14,125.72
2019-2020,2015-16,52,03,48,Dopatta,113.01,114.86,115.36,115.58,119.59,120.01,121.05,122.87,123.85,123.85,124.09,124.49,119.88
2019-2020,2015-16,53,03,49,Cleaning and laundring,124.21,126.08,126.74,127.78,128.17,129.05,129.91,130.41,130.5,130.5,130.66,131.01,128.75
2019-2020,2015-16,54,03,50,Footware,116.51,122.07,122.09,122.11,122.39,122.39,122.49,122.51,129.66,129.66,129.66,129.66,124.27
2019-2020,2015-16,55,04,00,"Housing, water, Elec., Gas and other fuels",127.2,127.15,126.98,131.37,131.21,131.62,133.62,130.34,130.4,130.08,130.22,130.09,130.02
2019-2020,2015-16,56,04,51,House rent,126.65,126.65,126.65,127.29,127.29,127.29,129.68,129.68,129.68,130.02,130.02,130.02,128.41
2019-2020,2015-16,57,04,52,Construcion input items,135.46,136.74,137.95,138.84,140.21,143.1,142.98,142.64,142.8,143.04,143.58,143.08,140.87
2019-2020,2015-16,58,04,53,Construction wage rates,141.48,142.04,142.68,144.18,145.73,146.32,146.43,147.66,148.1,148.38,148.8,149.2,145.92
2019-2020,2015-16,59,04,54,Water supply,119.55,122.55,122.55,131.54,131.54,131.54,131.54,131.89,131.89,131.89,143.78,143.78,131.17
2019-2020,2015-16,60,04,55,Garbage collection,145.38,145.38,145.54,145.54,146.12,154.8,154.8,154.8,154.8,156.98,156.98,159.37,151.71
2019-2020,2015-16,61,04,56,Electricity charges,108.25,108.25,107.18,126.9,125.72,127.65,124.87,108.04,108.04,108.04,108.04,108.04,114.09
2019-2020,2015-16,62,04,57,Gas charges,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94,216.94
2019-2020,2015-16,63,04,58,Liquified Hydrocarbons,135.05,128.04,127.07,148.23,147.54,147.47,186.07,160.89,164.55,133.83,128.31,121.3,144.03
2019-2020,2015-16,64,04,59,Solid Fuel,108.52,108.75,109.22,109.67,110.58,111.28,114.22,115.58,114.27,114.27,114.43,114.44,112.1
2019-2020,2015-16,65,05,00,Furnishing and household equipment maintenance,122.28,123.05,123.78,124.64,125.7,126.59,126.84,127.57,128.21,128.45,128.8,129.35,126.27
2019-2020,2015-16,66,05,60,Furniture and furnishing,119.52,120.43,120.94,122.94,123.59,126.9,127.19,128.23,128.32,128.32,129.15,130.08,125.47
2019-2020,2015-16,67,05,61,Carpets,106.49,107.32,107.34,107.59,107.59,107.52,107.45,110.97,111.09,111.09,111.16,111.18,108.9
2019-2020,2015-16,68,05,62,Household textiles,121.89,122.53,122.73,123.48,124.17,124.36,124.51,125.08,125.71,125.71,125.82,125.85,124.32
2019-2020,2015-16,69,05,63,Household equipments,121.02,121.61,123.08,123.38,123.84,125.07,125.47,125.99,127.53,127.53,128,129.09,125.13
2019-2020,2015-16,70,05,64,Plastic products,114.06,114.39,114.78,115.02,115.84,115.87,115.88,116.63,116.63,116.63,116.84,116.93,115.79
2019-2020,2015-16,71,05,65,Major tools & equipments,117.75,117.82,118.29,118.31,119.1,119.1,119.44,119.93,120.32,120.32,120.39,121.25,119.34
2019-2020,2015-16,72,05,66,Washing soap/detergents/match box,121.58,122.93,123.58,124.92,126.33,126.88,127.18,128.04,128.6,129.31,129.65,130.05,126.59
2019-2020,2015-16,73,05,67,Household servant,128.31,128.31,128.63,128.75,130.45,130.45,130.45,130.96,130.99,130.99,131.02,131.21,130.04
2019-2020,2015-16,74,06,00,Health,133.63,133.97,134.58,135.68,136.36,137.1,137.89,138.29,139.56,139.6,139.92,140.28,137.24
2019-2020,2015-16,75,06,68,Drugs and medicines,131.83,131.84,132.04,133.92,135.17,136.73,137.56,138.19,138.81,138.92,139.26,139.6,136.16
2019-2020,2015-16,76,06,69,Therapeutic Appliances and Equipme,106.46,106.58,106.62,106.81,107.01,107.01,107.01,107.17,107.2,107.2,107.2,111.06,107.28
2019-2020,2015-16,77,06,70,Doctor (MBBS) clinic fee,157.13,157.92,160.75,160.79,161.01,161.06,163.19,163.48,168.77,168.77,169.68,169.79,163.53
2019-2020,2015-16,78,06,71,Dental services,114.79,115.3,115.43,115.47,115.64,115.64,115.98,116.23,118.61,118.61,118.61,118.61,116.58
2019-2020,2015-16,79,06,72,Medical tests,120.65,121.34,121.27,122.98,123.51,123.64,123.91,124.15,124.34,124.34,124.35,126.01,123.37
2019-2020,2015-16,80,06,73,Hospitals services,126.57,127.04,127.14,127.34,127.34,127.34,127.35,127.47,127.53,127.49,127.49,127.51,127.3
2019-2020,2015-16,81,07,00,Transport,141.72,144.36,142.32,142.96,143.6,145.01,146.34,146.55,139.85,133.49,124.89,123.36,139.54
2019-2020,2015-16,82,07,74,Motor vehicles,141.89,144.24,145.22,145.23,145.35,145.41,146.36,146.45,146.48,146.48,146.86,147.46,145.62
2019-2020,2015-16,83,07,75,Motor vehicle accessories,121.74,122.32,122.59,123.67,123.72,125.88,126.72,127.55,127.83,128.16,130.09,130.68,125.91
2019-2020,2015-16,84,07,76,Motor fuel,156.53,162.6,157.35,157.58,158.91,158.62,161.69,161.97,151.98,138.53,119.92,111.18,149.74
2019-2020,2015-16,85,07,77,Mechanical services,120.34,121.22,126.04,126.2,126.3,128.45,128.99,129.02,129.15,129.15,130.66,130.87,127.2
2019-2020,2015-16,86,07,78,Motor vehicle tax,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72,126.72
2019-2020,2015-16,87,07,79,Transport services,124.88,122.65,122.55,124.29,124.21,128.87,127.76,127.89,120.92,120.93,120.93,129.73,124.63
2019-2020,2015-16,88,08,00,Communication,107.8,107.84,107.88,107.96,107.98,108.18,108.19,108.22,108.22,108.22,108.22,108.22,108.08
2019-2020,2015-16,89,08,80,Postal services,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05,147.05
2019-2020,2015-16,90,08,81,Communication apparatus,116.55,116.73,116.98,117.36,117.5,118.5,118.58,118.73,118.74,118.74,118.74,118.74,117.99
2019-2020,2015-16,91,08,82,Communication Services,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3
2019-2020,2015-16,92,09,00,Recreation and culture,115.31,116.23,116.63,116.89,117.14,117.22,117.24,117.38,118.01,118.08,118.12,118.29,117.21
2019-2020,2015-16,93,09,83,Recreation and culture,106.83,108.11,108.1,108.13,108.52,108.53,108.56,108.8,110.25,110.25,110.31,110.7,108.92
2019-2020,2015-16,94,09,84,Text books,115.92,116.83,117.03,117.03,117.05,117.05,117.06,117.06,117.25,117.25,117.25,117.25,117
2019-2020,2015-16,95,09,85,Newspapers,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55,151.55
2019-2020,2015-16,96,09,86,stationery,122.54,122.97,124.6,125.87,126.34,126.73,126.74,126.99,127.11,127.42,127.51,127.66,126.04
2019-2020,2015-16,97,10,00,Education,143.47,143.62,144.16,144.43,144.63,144.67,144.71,144.71,144.98,144.98,144.98,144.98,144.53
2019-2020,2015-16,98,10,87,Education,143.47,143.62,144.16,144.43,144.63,144.67,144.71,144.71,144.98,144.98,144.98,144.98,144.53
2019-2020,2015-16,99,11,00,Restaurants and hotels,122.67,123.22,124.01,124.31,124.95,124.97,127.33,128.88,129.7,129.74,129.8,130.52,126.68
2019-2020,2015-16,100,11,88,Readymade food,122.04,122.67,123.72,124.12,124.89,124.91,125.84,127.9,128.93,128.98,129.07,130.02,126.09
2019-2020,2015-16,101,11,89,Marriage Hall Charges,125.45,125.79,125.79,125.79,126.09,126.1,133.14,133.19,133.41,133.41,133.41,133.41,129.58
2019-2020,2015-16,102,11,90,Accommodation Services,112.01,112.07,112.11,112.17,112.4,112.4,112.4,112.4,112.4,112.4,112.4,112.4,112.3
2019-2020,2015-16,103,12,00,Misc. goods and services,127.23,128.97,130.9,131.58,131.88,132.17,133.78,134.2,135.66,137.08,137.02,138.14,133.22
2019-2020,2015-16,104,12,91,Personal Grooming Services,121.77,122.08,122.93,123.3,123.3,123.67,124.01,124.19,125.75,125.75,126.43,127.59,124.23
2019-2020,2015-16,105,12,92,Electrical Appliances for Personal,114.97,115.37,115.76,116.52,116.55,116.54,116.78,116.78,116.78,116.78,116.78,116.88,116.37
2019-2020,2015-16,106,12,93,Appliances/Articles/Products for P,120.23,120.74,122.96,124,124.46,125.23,125.91,126.55,127.37,127.62,127.73,128.06,125.07
2019-2020,2015-16,107,12,94,Personal Effects n.e.c.,154.58,161.43,163.46,163.27,163.32,162.03,167.73,167.65,171.17,177.51,176.28,179.94,167.36
2020-2021,2015-16,1,00,00,General,134.73,135.82,137.53,139.27,140.16,139.67,139.45,142.61,142.99,144.91,145.19,144.55,140.57
2020-2021,2015-16,2,01,00,Food and non-alcoholic Beverages,138.88,137.9,142.73,147.23,149.77,145.86,141.87,143.95,146.51,151.24,152.94,149.13,145.67
2020-2021,2015-16,3,01,01,Wheat,139.29,155.93,156.54,169.68,162.73,156.22,168.98,169.26,169.23,153.76,151.98,154.29,158.99
2020-2021,2015-16,4,01,02,Wheat flour,128.32,135.3,136.03,141.61,134.77,134.63,136.7,137.04,139.04,136.34,149.63,147.79,138.1
2020-2021,2015-16,5,01,03,Wheat products,129.4,138.26,139.8,151.08,152.98,152.82,154.97,159.51,160.24,159.55,159.69,159.52,151.49
2020-2021,2015-16,6,01,04,Besan,117.95,116.52,118.83,122.27,122.64,121.01,121.77,124.15,126.25,126.22,125.41,125.44,122.37
2020-2021,2015-16,7,01,05,Rice,135.86,136.28,137.42,139.41,138.43,138.23,138.51,140.17,142.43,142.32,144.34,145.4,139.9
2020-2021,2015-16,8,01,06,Bakery and confectionary,127.15,135.6,138.33,138.87,141.38,141.7,142.16,142.89,143.03,145.53,147.58,148.38,141.05
2020-2021,2015-16,9,01,07,Nimco,129.75,131.66,132.95,133.68,134.36,135.25,137.11,140.68,141.67,142.55,142.81,144.39,137.24
2020-2021,2015-16,10,01,08,Meat,153.62,153.64,154.2,155.08,155.07,155.77,155.97,156.32,157.53,160.11,167.61,172.38,158.11
2020-2021,2015-16,11,01,09,Chicken,141.5,89.93,106.4,134.72,163.5,165.48,118.35,162.15,172.82,185.45,216.74,136.86,149.49
2020-2021,2015-16,12,01,10,Fish,113.6,111.48,111.86,112.33,114.45,116.18,118.09,117.48,115.39,115.17,115.33,113.13,114.54
2020-2021,2015-16,13,01,11,Milk fresh,125.39,131.39,132.92,133.5,133.85,134.33,137.63,138.15,139.22,140.16,140.61,141.24,135.7
2020-2021,2015-16,14,01,12,Milk products,128.05,134.08,136.35,136.98,137.07,137.19,140.25,140.6,142.41,143.87,144.8,145.49,138.93
2020-2021,2015-16,15,01,13,Milk powder,130.29,131.01,132.88,133.81,134.76,134.85,135.28,135.37,136.73,136.98,138.07,138.33,134.86
2020-2021,2015-16,16,01,14,Eggs,147.06,145.1,152.65,189,194.34,224.8,190.2,170.45,192.54,191.07,168.95,176.33,178.54
2020-2021,2015-16,17,01,15,Butter,171.57,171.57,172.14,173.48,178.01,190.03,191.2,191.73,191.73,191.73,193.07,193.95,184.18
2020-2021,2015-16,18,01,16,Mustard oil,126.67,127.61,128.98,131.01,132.19,132.56,146.06,151.61,154.47,156.28,164.33,166.32,143.17
2020-2021,2015-16,19,01,17,Cooking oil,142.88,142.03,142.54,143.33,143.35,146.5,151.3,169.33,169.44,174.51,174.63,176.58,156.37
2020-2021,2015-16,20,01,18,Vegetable ghee,148.6,147.32,148.51,148.86,149.13,153.71,163.03,177.75,178.71,182.31,182.53,185.02,163.79
2020-2021,2015-16,21,01,19,Dry fruits,130.37,130.72,130.99,131.56,137.32,143.6,145.49,144.97,141.8,141.82,139.93,137.03,137.97
2020-2021,2015-16,22,01,20,Fresh fruits,151.5,116.43,109.22,105.6,104.93,102.99,108.54,118.59,130.45,159.57,176.39,140.99,127.1
2020-2021,2015-16,23,01,21,Pulse masoor,103.41,102.4,104.03,104.91,104,103.53,103.86,107.27,107.83,107.51,106.31,107.65,105.23
2020-2021,2015-16,24,01,22,Pulse moong,153.33,143.36,148.32,150.82,145.48,144.65,147.57,148.35,150.28,147.89,146.01,137.1,146.93
2020-2021,2015-16,25,01,23,Pulse mash,101.84,99.52,102.27,103.56,104.59,104.19,105.42,108.18,113.12,114.02,112.46,111.06,106.69
2020-2021,2015-16,26,01,24,Pulse gram,115.66,114.17,119.32,120.29,117.96,116.51,116.33,121.54,126.88,125.99,124.31,122.05,120.08
2020-2021,2015-16,27,01,25,Gram whohe,125.07,122.84,122.25,123.29,123.02,122.97,124.15,126.44,128.08,129.68,129.71,130.59,125.67
