fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2015-2016,2007-08,66,05,60,Household Textiles,209.69,211.55,212.12,213.29,214.08,215.47,216.16,217.54,219.62,219.15,220.62,221.22,215.88
2015-2016,2007-08,67,05,61,Household Equipment,175.41,175.47,175.57,175.73,175.89,176.33,176.48,176.18,176.51,177.64,178.29,178.21,176.48
2015-2016,2007-08,68,05,62,Utensils,216.41,216.86,217.57,218.25,218.4,219.05,219.4,219.75,221.38,222.55,223.5,222.56,219.64
2015-2016,2007-08,69,05,63,Plastic Products,203.33,203.54,204.1,204.85,204.88,205.82,206.03,206.33,206.73,206.9,206.97,207.23,205.56
2015-2016,2007-08,70,05,64,Washing Soaps & Detergents,223.42,224.99,224.73,225.68,225.85,226.72,226.88,226.94,225.2,226.13,226.67,226.76,225.83
2015-2016,2007-08,71,05,65,Sewing Needle & Dr Cell,198.97,200,200.63,200.81,201.89,202.24,202.56,203.4,205.05,208.24,208.58,208.8,203.43
2015-2016,2007-08,72,05,66,Household Servant,234.86,234.86,236.72,237.2,237.2,238.79,239.42,244.5,245.77,246.17,246.18,248.71,240.87
2015-2016,2007-08,73,05,67,Marriage Hall Charges,232.28,232.28,232.49,232.49,234.2,234.48,237.37,238.96,238.96,238.96,240.06,244.63,236.43
2015-2016,2007-08,74,06,00,Health,178.91,179.01,179.51,179.67,180.59,180.83,181.45,184.18,185.68,187.29,187.43,187.68,182.69
2015-2016,2007-08,75,06,68,Drugs & Medicines,148.93,148.93,149.01,149.02,149.14,149.14,149.28,151.34,152.54,152.83,153.11,153.48,150.56
2015-2016,2007-08,76,06,69,Medical Equipments,226.26,226.26,226.26,226.26,226.66,226.66,226.88,227,227.28,232.59,233.19,233.55,228.24
2015-2016,2007-08,77,06,70,Doctor (MBBS) Clinic Fee,242.85,242.85,244.44,244.44,247.4,248.27,250.01,253.49,255.23,260.45,260.45,260.45,250.86
