fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2025-2026,2015-16,09,83,Recreation and culture,156.35
2019-2020,2015-16,09,84,Text books,117
2020-2021,2015-16,09,84,Text books,120.78
2021-2022,2015-16,09,84,Text books,133.84
2022-2023,2015-16,09,84,Text books,212.87
2023-2024,2015-16,09,84,Text books,315.16
2024-2025,2015-16,09,84,Text books,328.33
2025-2026,2015-16,09,84,Text books,299.57
2019-2020,2015-16,09,85,Newspapers,151.55
2020-2021,2015-16,09,85,Newspapers,151.55
2021-2022,2015-16,09,85,Newspapers,152.5
2022-2023,2015-16,09,85,Newspapers,166.56
2023-2024,2015-16,09,85,Newspapers,211.33
2024-2025,2015-16,09,85,Newspapers,216.1
2025-2026,2015-16,09,85,Newspapers,243.67
2019-2020,2015-16,09,86,stationery,126.04
2020-2021,2015-16,09,86,stationery,131.84
2021-2022,2015-16,09,86,stationery,147.42
2022-2023,2015-16,09,86,stationery,231.42
2023-2024,2015-16,09,86,stationery,304
2024-2025,2015-16,09,86,stationery,327.02
2025-2026,2015-16,09,86,stationery,331.4
2019-2020,2015-16,10,00,Education,144.53
2020-2021,2015-16,10,00,Education,146.09
2021-2022,2015-16,10,00,Education,153.19
2022-2023,2015-16,10,00,Education,166.83
2023-2024,2015-16,10,00,Education,185.9
2024-2025,2015-16,10,00,Education,201.77
2025-2026,2015-16,10,00,Education,220.07
2019-2020,2015-16,10,87,Education,144.53
2020-2021,2015-16,10,87,Education,146.09
2021-2022,2015-16,10,87,Education,153.19
2022-2023,2015-16,10,87,Education,166.83
2023-2024,2015-16,10,87,Education,185.9
2024-2025,2015-16,10,87,Education,201.77
2025-2026,2015-16,10,87,Education,220.07
2019-2020,2015-16,11,00,Restaurants and hotels,126.68
2020-2021,2015-16,11,00,Restaurants and hotels,137.57
2021-2022,2015-16,11,00,Restaurants and hotels,155.07
2022-2023,2015-16,11,00,Restaurants and hotels,207.68
2023-2024,2015-16,11,00,Restaurants and hotels,258.87
2024-2025,2015-16,11,00,Restaurants and hotels,276.64
2025-2026,2015-16,11,00,Restaurants and hotels,291.28
2019-2020,2015-16,11,88,Readymade food,126.09
2020-2021,2015-16,11,88,Readymade food,138.49
2021-2022,2015-16,11,88,Readymade food,157.45
2022-2023,2015-16,11,88,Readymade food,215.76
2023-2024,2015-16,11,88,Readymade food,266.99
2024-2025,2015-16,11,88,Readymade food,283.51
2025-2026,2015-16,11,88,Readymade food,298.5
2019-2020,2015-16,11,89,Marriage Hall Charges,129.58
2020-2021,2015-16,11,89,Marriage Hall Charges,136.5
2021-2022,2015-16,11,89,Marriage Hall Charges,150.25
2022-2023,2015-16,11,89,Marriage Hall Charges,187.92
2023-2024,2015-16,11,89,Marriage Hall Charges,240.34
2024-2025,2015-16,11,89,Marriage Hall Charges,262.61
2025-2026,2015-16,11,89,Marriage Hall Charges,276.51
2019-2020,2015-16,11,90,Accommodation Services,112.3
2020-2021,2015-16,11,90,Accommodation Services,113.06
2021-2022,2015-16,11,90,Accommodation Services,118.96
2022-2023,2015-16,11,90,Accommodation Services,130.78
2023-2024,2015-16,11,90,Accommodation Services,163.73
2024-2025,2015-16,11,90,Accommodation Services,173.83
2025-2026,2015-16,11,90,Accommodation Services,183.83
2019-2020,2015-16,12,00,Misc. goods and services,133.22
2020-2021,2015-16,12,00,Misc. goods and services,147.47
2021-2022,2015-16,12,00,Misc. goods and services,162.79
2022-2023,2015-16,12,00,Misc. goods and services,210.96
2023-2024,2015-16,12,00,Misc. goods and services,266
2024-2025,2015-16,12,00,Misc. goods and services,297.44
2025-2026,2015-16,12,00,Misc. goods and services,349.11
2019-2020,2015-16,12,91,Personal Grooming Services,124.23
2020-2021,2015-16,12,91,Personal Grooming Services,134.77
2021-2022,2015-16,12,91,Personal Grooming Services,146.62
2022-2023,2015-16,12,91,Personal Grooming Services,190.07
2023-2024,2015-16,12,91,Personal Grooming Services,232.33
2024-2025,2015-16,12,91,Personal Grooming Services,255.47
2025-2026,2015-16,12,91,Personal Grooming Services,275.25
2019-2020,2015-16,12,92,Electrical Appliances for Personal,116.37
2020-2021,2015-16,12,92,Electrical Appliances for Personal,118.29
2021-2022,2015-16,12,92,Electrical Appliances for Personal,127.31
2022-2023,2015-16,12,92,Electrical Appliances for Personal,145.77
2023-2024,2015-16,12,92,Electrical Appliances for Personal,160.14
2024-2025,2015-16,12,92,Electrical Appliances for Personal,176.47
2025-2026,2015-16,12,92,Electrical Appliances for Personal,193.58
2019-2020,2015-16,12,93,Appliances/Articles/Products for P,125.07
2020-2021,2015-16,12,93,Appliances/Articles/Products for P,136.25
2021-2022,2015-16,12,93,Appliances/Articles/Products for P,151.74
2022-2023,2015-16,12,93,Appliances/Articles/Products for P,195.29
2023-2024,2015-16,12,93,Appliances/Articles/Products for P,252.2
2024-2025,2015-16,12,93,Appliances/Articles/Products for P,270.68
2025-2026,2015-16,12,93,Appliances/Articles/Products for P,293.02
2019-2020,2015-16,12,94,Personal Effects n.e.c.,167.36
2020-2021,2015-16,12,94,Personal Effects n.e.c.,195.08
2021-2022,2015-16,12,94,Personal Effects n.e.c.,213.08
2022-2023,2015-16,12,94,Personal Effects n.e.c.,281.32
2023-2024,2015-16,12,94,Personal Effects n.e.c.,343.23
2024-2025,2015-16,12,94,Personal Effects n.e.c.,423.38
2025-2026,2015-16,12,94,Personal Effects n.e.c.,596.29
