fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2017-2018,2007-08,02,41,Betel Leaves & Nuts,515.94
2018-2019,2007-08,02,41,Betel Leaves & Nuts,610.21
2015-2016,2007-08,03,00,Clothing and footwear,224.18
2016-2017,2007-08,03,00,Clothing and footwear,233.36
2017-2018,2007-08,03,00,Clothing and footwear,244.45
2018-2019,2007-08,03,00,Clothing and footwear,260.88
2015-2016,2007-08,03,42,Cotton Cloth,217.63
2016-2017,2007-08,03,42,Cotton Cloth,226.7
2017-2018,2007-08,03,42,Cotton Cloth,237.03
2018-2019,2007-08,03,42,Cotton Cloth,255.58
2015-2016,2007-08,03,43,Woolen Cloth,239.78
2016-2017,2007-08,03,43,Woolen Cloth,251.59
2017-2018,2007-08,03,43,Woolen Cloth,261.85
2018-2019,2007-08,03,43,Woolen Cloth,276.43
2015-2016,2007-08,03,44,Readymade Garments,229.64
2016-2017,2007-08,03,44,Readymade Garments,240.1
2017-2018,2007-08,03,44,Readymade Garments,253.67
2018-2019,2007-08,03,44,Readymade Garments,269.12
2015-2016,2007-08,03,45,Woolen Readymade Garments,250.53
2016-2017,2007-08,03,45,Woolen Readymade Garments,258.47
2017-2018,2007-08,03,45,Woolen Readymade Garments,264
2018-2019,2007-08,03,45,Woolen Readymade Garments,280.93
2015-2016,2007-08,03,46,Hosiery,237.4
2016-2017,2007-08,03,46,Hosiery,245.18
2017-2018,2007-08,03,46,Hosiery,256.72
2018-2019,2007-08,03,46,Hosiery,273.73
2015-2016,2007-08,03,47,Dopatta,237.17
2016-2017,2007-08,03,47,Dopatta,242.86
2017-2018,2007-08,03,47,Dopatta,252.52
2018-2019,2007-08,03,47,Dopatta,271.86
2015-2016,2007-08,03,48,Cleaning and Laundry,247.68
2016-2017,2007-08,03,48,Cleaning and Laundry,260.1
2017-2018,2007-08,03,48,Cleaning and Laundry,279.83
2018-2019,2007-08,03,48,Cleaning and Laundry,298.84
2015-2016,2007-08,03,49,Tailoring,287.03
2016-2017,2007-08,03,49,Tailoring,308.37
2017-2018,2007-08,03,49,Tailoring,333.34
2018-2019,2007-08,03,49,Tailoring,356.44
2015-2016,2007-08,03,50,Footwear,165.43
2016-2017,2007-08,03,50,Footwear,166.83
2017-2018,2007-08,03,50,Footwear,170.26
2018-2019,2007-08,03,50,Footwear,180.7
2016-2017,2007-08,04,00,"Housing, water, Elec., Gas and other fuels",192.91
2017-2018,2007-08,04,00,"Housing, water, Elec., Gas and other fuels",202.5
2018-2019,2007-08,04,00,"Housing, water, Elec., Gas and other fuels",221.07
2015-2016,2007-08,04,51,House Rent,172.62
2016-2017,2007-08,04,51,House Rent,183.85
2017-2018,2007-08,04,51,House Rent,195.87
2018-2019,2007-08,04,51,House Rent,209.97
2015-2016,2007-08,04,52,Construction Input Items,242.17
2016-2017,2007-08,04,52,Construction Input Items,249.21
2017-2018,2007-08,04,52,Construction Input Items,261.37
2018-2019,2007-08,04,52,Construction Input Items,290.14
2015-2016,2007-08,04,53,Construction Wage Rates,222.79
2016-2017,2007-08,04,53,Construction Wage Rates,234.38
2017-2018,2007-08,04,53,Construction Wage Rates,253.39
2018-2019,2007-08,04,53,Construction Wage Rates,276.08
2015-2016,2007-08,04,54,Water Supply,154.91
2016-2017,2007-08,04,54,Water Supply,165.7
2017-2018,2007-08,04,54,Water Supply,175.5
2018-2019,2007-08,04,54,Water Supply,193.75
2015-2016,2007-08,04,55,Electricity,237.82
2016-2017,2007-08,04,55,Electricity,238.1
2017-2018,2007-08,04,55,Electricity,238.1
2018-2019,2007-08,04,55,Electricity,248.19
2015-2016,2007-08,04,56,Gas,155.7
2016-2017,2007-08,04,56,Gas,158.08
2017-2018,2007-08,04,56,Gas,158.08
2018-2019,2007-08,04,56,Gas,259.23
2015-2016,2007-08,04,57,Kerosene Oil,203.72
2016-2017,2007-08,04,57,Kerosene Oil,197.38
2017-2018,2007-08,04,57,Kerosene Oil,231.67
2018-2019,2007-08,04,57,Kerosene Oil,279.21
2015-2016,2007-08,04,58,Firewood Whole,280.89
2016-2017,2007-08,04,58,Firewood Whole,288.4
2017-2018,2007-08,04,58,Firewood Whole,296.65
2018-2019,2007-08,04,58,Firewood Whole,304.14
2016-2017,2007-08,05,00,Furnishing and household equipment maintenance,223.9
2017-2018,2007-08,05,00,Furnishing and household equipment maintenance,233.06
2018-2019,2007-08,05,00,Furnishing and household equipment maintenance,251.44
2015-2016,2007-08,05,59,Furniture,208.32
2016-2017,2007-08,05,59,Furniture,215.09
2017-2018,2007-08,05,59,Furniture,226.64
2018-2019,2007-08,05,59,Furniture,247.64
2015-2016,2007-08,05,60,Household Textiles,215.88
2016-2017,2007-08,05,60,Household Textiles,225.01
2017-2018,2007-08,05,60,Household Textiles,235.6
2018-2019,2007-08,05,60,Household Textiles,249.69
2015-2016,2007-08,05,61,Household Equipment,176.48
2016-2017,2007-08,05,61,Household Equipment,179.85
2017-2018,2007-08,05,61,Household Equipment,185.23
2018-2019,2007-08,05,61,Household Equipment,197.78
2015-2016,2007-08,05,62,Utensils,219.64
2016-2017,2007-08,05,62,Utensils,226.81
2017-2018,2007-08,05,62,Utensils,240.46
2018-2019,2007-08,05,62,Utensils,266.56
2015-2016,2007-08,05,63,Plastic Products,205.56
2016-2017,2007-08,05,63,Plastic Products,208.83
2017-2018,2007-08,05,63,Plastic Products,217.45
2018-2019,2007-08,05,63,Plastic Products,238.46
2015-2016,2007-08,05,64,Washing Soaps & Detergents,225.83
2016-2017,2007-08,05,64,Washing Soaps & Detergents,229.85
2017-2018,2007-08,05,64,Washing Soaps & Detergents,235.19
2018-2019,2007-08,05,64,Washing Soaps & Detergents,254.84
2015-2016,2007-08,05,65,Sewing Needle & Dr Cell,203.43
2016-2017,2007-08,05,65,Sewing Needle & Dr Cell,205.2
2017-2018,2007-08,05,65,Sewing Needle & Dr Cell,211.82
2018-2019,2007-08,05,65,Sewing Needle & Dr Cell,227.48
2015-2016,2007-08,05,66,Household Servant,240.87
2016-2017,2007-08,05,66,Household Servant,250.51
2017-2018,2007-08,05,66,Household Servant,262.13
2018-2019,2007-08,05,66,Household Servant,282.01
2015-2016,2007-08,05,67,Marriage Hall Charges,236.43
2016-2017,2007-08,05,67,Marriage Hall Charges,244.78
2017-2018,2007-08,05,67,Marriage Hall Charges,254.38
2018-2019,2007-08,05,67,Marriage Hall Charges,273.69
2015-2016,2007-08,06,00,Health,182.69
2016-2017,2007-08,06,00,Health,201.82
2017-2018,2007-08,06,00,Health,218.13
2018-2019,2007-08,06,00,Health,235.29
2015-2016,2007-08,06,68,Drugs & Medicines,150.56
2016-2017,2007-08,06,68,Drugs & Medicines,171.59
2017-2018,2007-08,06,68,Drugs & Medicines,187.03
2018-2019,2007-08,06,68,Drugs & Medicines,199.97
2015-2016,2007-08,06,69,Medical Equipments,228.24
2016-2017,2007-08,06,69,Medical Equipments,246.34
2017-2018,2007-08,06,69,Medical Equipments,255.66
2018-2019,2007-08,06,69,Medical Equipments,270.76
2015-2016,2007-08,06,70,Doctor (MBBS) Clinic Fee,250.86
2016-2017,2007-08,06,70,Doctor (MBBS) Clinic Fee,271.62
2017-2018,2007-08,06,70,Doctor (MBBS) Clinic Fee,291.62
2018-2019,2007-08,06,70,Doctor (MBBS) Clinic Fee,317.64
2015-2016,2007-08,06,71,Medical Tests,182.93
2016-2017,2007-08,06,71,Medical Tests,191.64
2017-2018,2007-08,06,71,Medical Tests,204.77
2018-2019,2007-08,06,71,Medical Tests,222.36
2015-2016,2007-08,07,00,Transport,174.26
2016-2017,2007-08,07,00,Transport,172.93
2017-2018,2007-08,07,00,Transport,182.18
2018-2019,2007-08,07,00,Transport,211.5
2015-2016,2007-08,07,72,Motor Vehicles,164.18
2016-2017,2007-08,07,72,Motor Vehicles,171.97
2017-2018,2007-08,07,72,Motor Vehicles,180.95
2018-2019,2007-08,07,72,Motor Vehicles,203.45
2015-2016,2007-08,07,73,Motor Vehicle Accessories,223.13
2016-2017,2007-08,07,73,Motor Vehicle Accessories,213.17
2017-2018,2007-08,07,73,Motor Vehicle Accessories,214.8
2018-2019,2007-08,07,73,Motor Vehicle Accessories,231.62
2015-2016,2007-08,07,74,Motor Fuel,144.87
2016-2017,2007-08,07,74,Motor Fuel,141.88
2017-2018,2007-08,07,74,Motor Fuel,157.75
2018-2019,2007-08,07,74,Motor Fuel,193.25
2015-2016,2007-08,07,75,Mechanical Service,221
2016-2017,2007-08,07,75,Mechanical Service,228.76
2017-2018,2007-08,07,75,Mechanical Service,236.26
2018-2019,2007-08,07,75,Mechanical Service,251.92
2015-2016,2007-08,07,76,Motor Vehicle Tax,210.18
2016-2017,2007-08,07,76,Motor Vehicle Tax,210.18
2017-2018,2007-08,07,76,Motor Vehicle Tax,210.18
2018-2019,2007-08,07,76,Motor Vehicle Tax,210.63
2015-2016,2007-08,07,77,Transport Services,195.89
