country,iso2c,iso3c,year,SP.POP.TOTL,SP.POP.GROW,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.URB.TOTL.IN.ZS,SP.POP.DPND,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.DYN.IMRT.IN,SH.DYN.MORT
Pakistan,PK,PAK,1972,63583194,2.76710611631107,43.833,13.75,53.824,6.805,25.353,88.7370094356937,44.0532891124242,2.96293228865687,133.6,183.9
Pakistan,PK,PAK,1973,65461912,2.91192871794029,43.733,13.61,54.09,6.808,25.671,89.0255342479234,44.0904785664488,3.00661625185485,132.6,181.1
Pakistan,PK,PAK,1974,67415487,2.94062916480139,43.59,13.507,54.266,6.811,26.005,89.1858564816686,44.0940788575776,3.04784640953495,131.7,178.4
Pakistan,PK,PAK,1975,69461175,2.98931944120814,43.493,13.263,54.722,6.812,26.341,89.2180959941713,44.0626627460401,3.08826979180622,130.8,175.9
Pakistan,PK,PAK,1976,71620254,3.06099476757709,43.408,13.084,55.069,6.808,26.681,89.1258463793923,43.99695200748,3.12820167373184,130.1,173.5
Pakistan,PK,PAK,1977,73901827,3.13596391872731,43.439,12.887,55.482,6.799,27.023,88.9482889442391,43.9087213371009,3.16674577499454,129.3,171.3
Pakistan,PK,PAK,1978,76307379,3.20320937214696,43.499,12.616,56.072,6.783,27.368,88.7396426151106,43.8134735055343,3.2034870231653,128.6,169.1
Pakistan,PK,PAK,1979,78997039,3.46407267837998,43.508,12.351,56.614,6.761,27.715,88.292857948665,43.6550049448372,3.23623646681089,127.9,167
Pakistan,PK,PAK,1980,82291010,4.08514964566703,43.642,12.066,57.199,6.734,28.066,87.2404618832674,43.3370935658707,3.2556466374638,127.1,164.9
Pakistan,PK,PAK,1981,85802049,4.17810201190455,44.405,11.883,57.764,6.704,28.38,86.3582298727762,43.0712526278291,3.26865443930917,126.2,162.7
Pakistan,PK,PAK,1982,89089246,3.75957440174228,44.648,11.707,58.291,6.674,28.619,86.2282607132429,43.015796446497,3.28666045330915,125.2,160.5
Pakistan,PK,PAK,1983,92227711,3.46220072057645,44.671,11.571,58.663,6.644,28.859,86.5734749859611,43.0938294673713,3.30798354086875,124.1,158.1
Pakistan,PK,PAK,1984,95164936,3.13509160725294,44.515,11.459,58.921,6.615,29.101,87.3779148345794,43.2992678101523,3.33264974822239,122.7,155.6
Pakistan,PK,PAK,1985,98229285,3.1692834201536,44.26,11.344,59.075,6.585,29.344,88.1450659406049,43.495015038056,3.35450826423857,121.2,153
Pakistan,PK,PAK,1986,101606764,3.38057189066263,44.147,11.259,59.167,6.554,29.588,88.6277391667405,43.6152936629298,3.37023428873298,119.6,150.4
Pakistan,PK,PAK,1987,105130717,3.40943919604165,43.993,11.188,59.222,6.518,29.833,89.0604180319788,43.7247184379043,3.38213711602481,118,147.7
Pakistan,PK,PAK,1988,108724739,3.36148582370259,43.774,11.079,59.36,6.476,30.08,89.5185026194753,43.8429567357115,3.39174691699307,116.3,145.1
Pakistan,PK,PAK,1989,112336629,3.26806216038551,43.417,10.942,59.528,6.425,30.327,90.0358993217998,43.9779270213722,3.40043630559911,114.5,142.4
Pakistan,PK,PAK,1990,116155576,3.34304854189447,42.89,10.763,59.728,6.364,30.576,90.3524722641165,44.0600595876689,3.40581841718903,112.7,139.8
Pakistan,PK,PAK,1991,120060406,3.30645345087216,42.462,10.625,59.864,6.291,30.826,90.6055379024562,44.1257917946496,3.40983519825081,110.8,137.1
Pakistan,PK,PAK,1992,123546848,2.86254207102062,41.988,10.513,59.983,6.207,31.077,91.3237120318044,44.3133387574836,3.41922481333063,108.7,134.2
Pakistan,PK,PAK,1993,127020117,2.7725055318492,41.179,10.351,60.083,6.112,31.329,91.9353108787057,44.4703394678433,3.42877342582189,106.5,131.1
Pakistan,PK,PAK,1994,130748083,2.89269657804833,40.449,10.187,60.197,6.008,31.582,92.1153641235323,44.5125313997912,3.43541059795118,104.2,128
Pakistan,PK,PAK,1995,134582253,2.89031173222832,39.581,10.029,60.273,5.894,31.836,92.0050933998263,44.4766840840449,3.44136384757952,101.7,124.7
Pakistan,PK,PAK,1996,138557092,2.9106898704011,38.86,9.834,60.466,5.771,32.092,91.5013917796717,44.3345774185798,3.44648075988229,99.1,121.2
Pakistan,PK,PAK,1997,142531804,2.82827034753681,38.03,9.658,60.623,5.642,32.348,90.7652198383735,44.1269121942777,3.45263082476666,96.4,117.8
Pakistan,PK,PAK,1998,146522356,2.76128567260809,37.363,9.348,61.134,5.507,32.585,89.8748985312392,43.8731381847052,3.4606057094134,93.9,114.5
Pakistan,PK,PAK,1999,150565377,2.7219371038823,37.203,9.122,61.54,5.462,32.783,88.9480257631773,43.6052111103869,3.47018225843515,91.4,111.2
Pakistan,PK,PAK,2000,154879127,2.82475983542412,36.541,8.899,61.903,5.352,32.982,87.8265663645158,43.2810511750917,3.47834412663736,89.1,108.1
Pakistan,PK,PAK,2001,159270907,2.79615830892104,35.71,8.685,62.241,5.182,33.18,86.5773622162083,42.9150808439862,3.48784853720962,87,105.3
Pakistan,PK,PAK,2002,163222549,2.45080308981688,34.883,8.492,62.556,5.012,33.38,85.5449528888916,42.6000131188981,3.50469191758336,85,102.8
Pakistan,PK,PAK,2003,167110248,2.35391613887513,34.295,8.32,62.834,4.894,33.58,84.4400864362812,42.2571229742894,3.524728477454,83.4,100.5
Pakistan,PK,PAK,2004,171286000,2.4680911760913,33.21,8.137,63.097,4.685,33.781,83.0037628777389,41.8116784208867,3.54463674789533,81.8,98.5
Pakistan,PK,PAK,2005,175453212,2.40377350441569,32.887,8.411,62.416,4.595,33.982,81.4989219399268,41.3367999745231,3.56645421924093,80.4,96.5
Pakistan,PK,PAK,2006,179682690,2.3820052866049,33.162,7.904,63.624,4.589,34.184,80.100024981889,40.8849528020757,3.59034640454236,79,94.7
Pakistan,PK,PAK,2007,184493231,2.6420312522935,33.262,7.84,63.807,4.554,34.387,78.616390172067,40.4019704668785,3.61212575764399,77.7,92.9
Pakistan,PK,PAK,2008,189499113,2.67715693120755,33.583,7.8,64.002,4.515,34.59,77.3059146807243,39.9653548774131,3.634947357247,76.3,91
Pakistan,PK,PAK,2009,194376534,2.5412831091032,33.609,7.741,64.206,4.465,34.793,76.3243708555709,39.6243452926267,3.66199682313504,74.8,89.1
Pakistan,PK,PAK,2010,199239047,2.47081701538021,33.525,7.691,64.378,4.398,34.997,75.5364234270318,39.3404697423593,3.69129626483307,73.2,87.1
