province,district,mpi,mpi_lo,mpi_hi,h_incidence,h_lo,h_hi,a_intensity,a_lo,a_hi,pop_share,n_poor_thousands
KP,Peshawar,0.11054,0.08802,0.13307,25.3255,20.3889,30.2621,43.6494,42.4265,44.8724,2.392721,1391
KP,Shangla,0.34317,0.28242,0.40391,68.629,57.9189,79.339,50.0033,48.201,51.8056,0.3291443,518
KP,South Waziristan,0.36127,0.27522,0.44732,70.8477,57.5669,84.1286,50.9928,47.2188,54.7669,0.3229248,525
KP,Swabi,0.11727,0.08956,0.14498,25.9464,20.3418,31.5509,45.1974,42.9375,47.4574,0.8293992,494
KP,Swat,0.17221,0.11829,0.22613,35.937,25.9392,45.9348,47.9195,45.2771,50.5618,1.15371,951
KP,Tank,0.22737,0.11331,0.34143,46.0314,26.0708,65.9919,49.3944,44.8175,53.9712,0.2017165,213
KP,Tor Garh,0.34094,0.26747,0.41441,69.447,56.9761,81.9178,49.0936,45.0758,53.1114,0.0804237,128
KP,Upper Dir,0.28577,0.22944,0.3421,56.9242,47.3421,66.5063,50.2027,47.6476,52.7578,0.4040478,528
Punjab,Attock,0.01874,0.01046,0.02701,4.53535,2.61589,6.45482,41.315,39.7271,42.9029,0.7374412,77
Punjab,Bahawalnagar,0.1589,0.13415,0.18364,34.3017,29.2595,39.3438,46.3229,45.2703,47.3755,1.557532,1226
Punjab,Bahawalpur,0.14343,0.11823,0.16863,31.4351,26.2893,36.5809,45.6275,44.5186,46.7363,1.947439,1405
Punjab,Bhakhar,0.13492,0.11045,0.15938,31.2297,25.7707,36.6887,43.2014,42.108,44.2949,0.7142729,512
Punjab,Chakwal,0.01542,0.00921,0.02164,3.61052,2.25806,4.96299,42.7127,39.3305,46.095,0.6276937,52
Punjab,Chiniot,0.11866,0.09356,0.14376,27.2099,21.6146,32.8052,43.6089,42.6448,44.573,0.7038071,439
Punjab,D. G. Khan,0.29735,0.24514,0.34956,57.9691,49.4609,66.4773,51.295,48.8743,53.7157,1.459846,1942
Punjab,Faisalabad,0.05948,0.04809,0.07088,13.4914,11.0406,15.9423,44.0892,42.9606,45.2178,3.804859,1178
Punjab,Gujranwala,0.02836,0.02172,0.03501,6.63151,5.1654,8.09761,42.7705,40.9579,44.5832,2.206535,336
Punjab,Gujrat,0.01664,0.00963,0.02364,4.13023,2.44421,5.81625,40.2765,38.0902,42.4627,1.091667,103
Punjab,Hafizabad,0.04361,0.02979,0.05743,10.1829,7.027,13.3387,42.8275,41.3321,44.3228,0.4411039,103
Punjab,Islamabad,0.01098,0.00393,0.01804,2.55241,0.96113,4.14369,43.0282,39.6828,46.3736,0.8688865,51
Punjab,Jehlum,0.02041,0.01203,0.02879,5.01688,3.04,6.99376,40.6793,38.8188,42.5398,0.5327089,61
Punjab,Jhang,0.10031,0.08139,0.11924,22.7194,18.6204,26.8184,44.1535,43.2095,45.0974,1.219971,636
Punjab,Kasur,0.08202,0.06774,0.0963,18.5524,15.5133,21.5916,44.2085,42.8514,45.5655,1.43786,612
Punjab,Khanewal,0.11893,0.09394,0.14393,26.1079,21.193,31.0229,45.5548,43.9501,47.1595,1.481362,888
Punjab,Khushab,0.07249,0.05416,0.09082,16.8554,12.7171,20.9936,43.0081,41.5522,44.464,0.5690787,220
Punjab,Lahore,0.02527,0.01927,0.03127,6.08273,4.75412,7.41133,41.5419,39.8395,43.2442,5.53676,773
Punjab,Layyah,0.08513,0.0506,0.11966,20.2406,12.4381,28.0432,42.0591,40.2553,43.8629,0.9841776,457
Punjab,Lodhran,0.15053,0.11884,0.18223,34.655,27.8481,41.4618,43.4376,42.1544,44.7208,0.7382408,587
Punjab,Mandi Bahauddin,0.03766,0.02418,0.05115,8.81309,5.74281,11.8834,42.7362,40.9017,44.5706,0.6903239,140
Punjab,Mianwali,0.10664,0.05038,0.1629,23.7493,13.0346,34.464,44.9034,40.6091,49.1976,0.6784059,370
Punjab,Multan,0.10472,0.08419,0.12525,23.6424,19.2565,28.0283,44.294,43.2424,45.3455,1.962461,1065
Punjab,Muzaffar Garh,0.21578,0.19108,0.24048,47.8831,42.7754,52.9908,45.0637,44.1158,46.0116,2.210598,2429
Punjab,Nankana Sahib,0.05415,0.03633,0.07197,12.7818,8.96044,16.6032,42.3654,39.8443,44.8865,0.5727044,168
Punjab,Narowal,0.03217,0.02324,0.0411,7.77421,5.70603,9.8424,41.3827,39.6374,43.128,0.8887637,159
Punjab,Okara,0.05891,0.04144,0.07637,13.8943,9.86686,17.9217,42.3959,40.7745,44.0172,1.413217,451
